id,fullname,age,gender,math_grade,literature_grade,attendance,participation,homework,midterm_grade,final_grade
1,Кудайбергенов Жамиля,25,female,57,96,87,high,2,89,68
2,Жумабаев Бакыт,18,male,96,55,57,low,7,94,96
3,Жумабаев Назгуль,20,male,91,72,67,high,6,100,81
4,Бекмурзаев Жамиля,21,female,67,80,78,low,2,85,79
5,Сариев Жанат,23,female,66,85,91,high,1,54,65
6,Токтосунов Асель,23,male,71,69,91,high,0,60,88
7,Усенов Нурлан,22,female,63,55,77,medium,6,69,51
8,Шаршенов Айгуль,22,female,61,55,50,medium,9,67,58
9,Кубатбеков Азиз,23,female,58,86,100,medium,0,85,61
10,Усенов Гулнара,20,female,66,54,58,low,3,98,61
11,Кубатбеков Жанат,24,male,64,81,87,low,5,88,61
12,Сариев Канат,25,male,99,95,75,high,5,57,56
13,Асанов Кундуз,22,female,86,79,82,low,3,75,68
14,Сариев Тимур,22,female,55,55,52,low,8,53,69
15,Усенов Асель,23,female,60,50,69,low,5,68,98
16,Сариев Рустам,22,male,77,51,73,medium,7,92,87
17,Кудайбергенов Назгуль,22,male,53,94,62,low,5,91,84
18,Бекмурзаев Жанат,20,female,94,73,100,low,10,63,53
19,Токтосунов Айбек,22,female,92,61,90,medium,8,88,92
20,Бекмурзаев Тимур,22,female,87,75,80,medium,4,68,72
21,Бекмурзаев Рустам,24,male,81,67,93,medium,7,81,84
22,Токтосунов Тимур,21,male,96,93,98,medium,1,53,73
23,Шаршенов Кундуз,22,male,63,58,87,medium,10,63,68
24,Исмаилов Айгуль,25,male,71,68,83,low,5,75,96
25,Бекмурзаев Бакыт,20,female,76,84,73,low,8,87,68
26,Кудайбергенов Бакыт,24,male,82,71,86,low,9,90,67
27,Шаршенов Марат,19,female,99,82,56,low,2,95,95
28,Кудайбергенов Рустам,21,male,66,95,96,high,2,82,66
29,Сариев Жанара,23,male,56,98,73,low,6,55,78
30,Токтосунов Асель,23,female,80,89,95,high,3,60,62
31,Токтосунов Бакыт,21,male,79,71,57,high,1,81,59
32,Жумабаев Айбек,24,male,61,75,73,low,5,99,89
33,Бекмурзаев Кундуз,20,female,78,85,74,low,4,92,98
34,Асанов Айжан,19,male,63,76,76,low,2,60,77
35,Усенов Нурлан,21,male,90,84,66,low,0,61,59
36,Кубатбеков Эльмира,22,female,94,75,69,high,10,55,69
37,Кудайбергенов Азиз,22,male,94,98,73,medium,7,82,55
38,Бекмурзаев Бакыт,19,male,55,62,81,high,5,72,58
39,Усенов Эрмек,21,female,94,82,68,medium,8,60,54
40,Кубатбеков Айжан,23,male,57,95,84,medium,10,90,58
41,Кудайбергенов Жамиля,18,female,71,89,69,medium,3,93,52
42,Усенов Айжан,18,female,69,90,82,high,6,73,89
43,Усенов Тимур,20,male,94,60,86,medium,4,96,71
44,Бекмурзаев Кундуз,24,male,66,66,96,medium,5,65,73
45,Кубатбеков Бакыт,23,male,83,88,78,low,1,79,62
46,Жумабаев Айжан,20,female,74,54,82,low,1,70,73
47,Шаршенов Жамиля,24,female,88,53,91,high,6,70,82
48,Исмаилов Эльмира,21,male,100,68,60,medium,2,60,61
49,Кудайбергенов Нурлан,23,female,83,78,54,low,0,72,92
50,Асанов Рустам,18,male,93,69,73,low,8,99,95
51,Жумабаев Канат,20,female,88,63,82,high,9,53,52
52,Кудайбергенов Айгуль,25,female,73,95,64,medium,2,82,57
53,Бекмурзаев Эльмира,25,female,80,67,81,low,2,66,85
54,Токтосунов Канат,19,female,81,80,85,low,5,74,54
55,Сариев Эльмира,18,male,62,80,68,medium,9,62,72
56,Кубатбеков Айжан,18,male,79,55,62,low,6,50,62
57,Исмаилов Эльмира,25,male,79,70,80,medium,3,61,91
58,Кубатбеков Канат,25,female,56,96,78,medium,0,94,52
59,Исмаилов Айбек,20,female,56,90,87,medium,7,97,51
60,Асанов Назгуль,18,female,83,57,95,low,6,64,69
61,Токтосунов Тимур,20,female,65,97,73,low,2,79,53
62,Асанов Эрмек,21,male,92,86,97,high,4,68,94
63,Шаршенов Кундуз,24,male,100,90,88,medium,10,92,82
64,Кубатбеков Кундуз,23,female,85,58,76,low,3,56,76
65,Сариев Тимур,18,male,84,72,69,low,2,80,68
66,Жумабаев Айжан,18,male,71,85,59,low,9,96,67
67,Шаршенов Эрмек,20,female,51,82,54,low,10,53,50
68,Сариев Эльмира,18,male,55,81,96,low,0,94,85
69,Усенов Айбек,19,male,94,74,53,medium,0,57,92
70,Исмаилов Жанат,25,male,93,63,84,medium,1,69,92
71,Исмаилов Бакыт,19,male,73,79,100,medium,10,83,59
72,Сариев Жанара,19,male,56,62,88,high,10,55,74
73,Жумабаев Эльмира,19,female,96,88,57,medium,0,66,61
74,Исмаилов Тимур,22,female,59,62,73,medium,4,59,90
75,Асанов Марат,24,female,93,96,98,medium,3,67,67
76,Токтосунов Кундуз,19,male,52,79,87,high,1,100,94
77,Кубатбеков Рустам,24,male,60,71,91,high,6,81,67
78,Сариев Кундуз,24,female,82,100,90,low,8,85,62
79,Кубатбеков Эрмек,24,female,70,62,100,high,4,68,75
80,Шаршенов Бегимай,19,male,98,89,90,high,4,53,97
81,Усенов Гулнара,22,female,99,54,70,high,1,60,53
82,Усенов Жамиля,22,male,75,65,54,medium,7,70,90
83,Исмаилов Айбек,22,male,58,87,81,low,8,63,53
84,Сариев Жанат,20,female,59,85,94,high,9,68,97
85,Бекмурзаев Бакыт,19,female,81,54,88,medium,0,92,91
86,Асанов Айжан,18,male,78,65,88,medium,10,94,57
87,Кубатбеков Айбек,21,male,77,81,81,medium,5,97,75
88,Усенов Бегимай,19,female,99,86,57,high,2,60,98
89,Исмаилов Канат,18,female,88,64,81,high,1,73,90
90,Токтосунов Марат,19,male,87,84,60,medium,4,74,92
91,Жумабаев Айгуль,23,female,75,64,76,low,5,89,88
92,Исмаилов Нурлан,19,female,88,69,76,high,0,72,85
93,Асанов Эльмира,25,female,60,80,92,medium,8,82,93
94,Усенов Тимур,23,male,51,84,100,high,3,68,67
95,Токтосунов Айбек,20,female,83,62,64,low,3,54,78
96,Бекмурзаев Марат,24,female,80,94,96,high,7,58,94
97,Асанов Жанат,19,female,66,70,54,low,1,85,61
98,Бекмурзаев Эрмек,21,female,94,99,71,low,8,87,87
99,Сариев Эрмек,25,male,51,75,56,low,4,84,91
100,Токтосунов Айжан,25,male,99,56,55,high,10,51,77
101,Бекмурзаев Гулнара,25,female,58,62,85,high,8,60,76
102,Бекмурзаев Жамиля,18,male,85,78,63,high,8,75,80
103,Асанов Айбек,21,female,100,56,92,low,6,90,51
104,Шаршенов Эльмира,19,male,72,99,81,high,2,53,78
105,Токтосунов Гулнара,18,female,87,81,76,medium,9,53,96
106,Асанов Назгуль,21,male,80,92,58,high,0,70,71
107,Сариев Айжан,24,female,81,75,82,medium,1,86,61
108,Кудайбергенов Тимур,20,male,77,83,86,low,8,78,56
109,Усенов Эльмира,25,female,97,51,95,high,9,68,62
110,Сариев Айгуль,22,male,93,60,62,low,2,91,71
111,Шаршенов Бегимай,21,male,63,78,65,high,5,50,91
112,Сариев Азиз,23,female,98,75,84,low,6,88,77
113,Исмаилов Жанат,19,female,54,85,99,medium,10,76,84
114,Токтосунов Айбек,24,male,62,60,80,high,8,55,61
115,Жумабаев Гулнара,20,female,57,71,98,high,7,100,52
116,Шаршенов Бегимай,20,female,81,62,75,high,7,88,99
117,Токтосунов Жамиля,22,female,68,85,67,low,3,79,89
118,Сариев Эльмира,24,female,90,93,92,medium,6,100,54
119,Кубатбеков Эльмира,21,female,52,96,53,low,7,54,71
120,Кубатбеков Рустам,21,female,64,81,100,medium,8,90,95
121,Кубатбеков Канат,23,male,68,71,56,low,2,57,95
122,Жумабаев Жанара,20,male,52,52,65,high,10,79,90
123,Асанов Жанат,24,female,79,55,80,high,5,87,88
124,Кубатбеков Эльмира,22,female,90,62,78,medium,10,83,55
125,Исмаилов Айгуль,20,female,62,56,72,medium,8,73,89
126,Кубатбеков Асель,20,male,98,69,86,medium,6,70,67
127,Кубатбеков Бакыт,20,male,68,83,88,high,7,55,59
128,Кубатбеков Канат,21,male,70,79,66,low,6,86,79
129,Кудайбергенов Бакыт,25,male,55,84,62,medium,10,80,78
130,Бекмурзаев Бакыт,25,female,86,90,69,low,6,74,64
131,Бекмурзаев Канат,23,male,95,75,58,low,1,100,64
132,Исмаилов Жанара,21,male,61,65,69,medium,0,86,86
133,Токтосунов Назгуль,18,female,94,71,57,low,8,70,80
134,Токтосунов Бегимай,18,female,74,74,66,low,7,51,68
135,Жумабаев Жамиля,20,female,100,90,91,low,2,99,94
136,Шаршенов Канат,21,female,52,59,85,low,9,59,54
137,Кудайбергенов Бакыт,25,female,89,100,54,high,0,54,87
138,Жумабаев Азиз,24,male,82,51,95,low,10,67,93
139,Кубатбеков Асель,23,male,89,51,54,low,6,68,80
140,Усенов Бегимай,19,male,64,95,82,medium,2,58,51
141,Кубатбеков Эльмира,19,male,97,52,91,medium,7,99,74
142,Бекмурзаев Асель,19,male,86,66,56,high,2,82,73
143,Сариев Рустам,22,female,97,80,65,medium,8,87,97
144,Исмаилов Рустам,22,male,64,77,62,low,9,80,96
145,Сариев Жанат,19,female,70,75,92,medium,8,92,58
146,Жумабаев Жанара,21,male,62,64,77,low,6,61,82
147,Усенов Гулнара,25,male,68,58,81,medium,1,85,94
148,Бекмурзаев Гулнара,19,female,53,82,52,high,7,57,86
149,Усенов Канат,24,male,81,58,74,high,2,80,59
150,Кудайбергенов Тимур,20,male,99,66,56,low,3,74,67
151,Кубатбеков Эрмек,20,male,53,66,91,medium,10,54,76
152,Кудайбергенов Тимур,24,male,86,59,93,low,4,59,99
153,Токтосунов Асель,21,male,60,82,77,high,2,55,51
154,Токтосунов Асель,22,female,58,68,68,medium,9,64,73
155,Сариев Рустам,22,female,90,64,60,high,7,86,89
156,Бекмурзаев Нурлан,23,female,58,78,74,low,9,95,94
157,Токтосунов Рустам,20,male,61,71,81,medium,8,90,53
158,Жумабаев Эрмек,24,female,76,86,87,high,3,51,86
159,Усенов Тимур,21,female,83,62,65,low,9,57,93
160,Жумабаев Бакыт,18,male,68,87,53,medium,1,65,71
161,Токтосунов Эрмек,20,male,69,89,75,high,7,63,84
162,Токтосунов Айбек,21,male,74,55,76,low,5,92,70
163,Шаршенов Кундуз,20,male,76,83,70,high,0,73,76
164,Сариев Бакыт,25,female,58,76,69,medium,3,96,87
165,Бекмурзаев Марат,23,male,54,61,87,low,8,75,69
166,Жумабаев Канат,21,female,57,53,56,high,4,77,53
167,Усенов Айгуль,19,female,82,98,82,high,1,81,68
168,Жумабаев Жанат,19,female,79,69,60,high,8,62,77
169,Кудайбергенов Нурлан,21,male,67,93,95,high,9,79,62
170,Шаршенов Тимур,19,female,76,77,89,medium,7,75,90
171,Кубатбеков Эрмек,24,male,75,83,81,medium,10,68,78
172,Жумабаев Эльмира,20,female,60,96,70,low,0,69,87
173,Исмаилов Тимур,24,male,68,90,83,medium,4,76,60
174,Асанов Нурлан,25,male,97,64,92,medium,5,96,52
175,Асанов Назгуль,24,male,67,95,89,medium,2,68,100
176,Шаршенов Нурлан,19,male,61,54,54,medium,1,59,61
177,Асанов Бегимай,21,female,80,52,86,low,1,57,83
178,Исмаилов Назгуль,25,male,94,52,54,medium,10,52,74
179,Усенов Назгуль,24,female,66,52,71,medium,1,83,55
180,Жумабаев Айжан,22,female,54,77,74,low,9,61,89
181,Шаршенов Азиз,19,female,100,66,78,low,1,96,99
182,Кубатбеков Тимур,22,male,83,97,98,high,0,90,54
183,Токтосунов Бакыт,19,male,69,77,86,high,1,84,94
184,Бекмурзаев Асель,18,female,98,90,51,high,1,79,82
185,Сариев Гулнара,21,male,69,69,63,low,0,60,87
186,Токтосунов Марат,25,female,94,69,61,medium,6,82,84
187,Сариев Назгуль,20,male,63,88,96,low,8,96,72
188,Токтосунов Жанара,24,male,100,53,65,high,0,84,97
189,Кудайбергенов Марат,19,male,73,84,59,medium,9,75,50
190,Кубатбеков Рустам,22,male,97,78,94,high,1,84,73
191,Токтосунов Марат,20,female,69,72,54,low,10,95,89
192,Кудайбергенов Тимур,22,male,74,56,63,low,0,75,84
193,Исмаилов Канат,19,male,77,54,92,medium,5,96,57
194,Шаршенов Айжан,24,male,85,74,77,low,2,98,73
195,Кудайбергенов Эрмек,18,male,95,62,62,high,5,82,72
196,Исмаилов Бакыт,22,male,89,73,52,medium,7,79,80
197,Кубатбеков Рустам,20,male,56,94,99,medium,2,55,71
198,Исмаилов Марат,21,male,71,94,57,low,2,64,51
199,Исмаилов Асель,18,male,73,56,66,high,7,69,84
200,Кубатбеков Асель,18,male,87,74,66,high,0,83,65
